instance_id,n,m,density,profit_type,alpha,greedy_profit,exact_profit,approximation_ratio,profit_gap,relative_profit_gap,greedy_feasible,exact_feasible,greedy_consistent,exact_consistent
5,9,1,dense,random,0.3,574,574,1.0,0,0.0,True,True,True,True
1,9,1,dense,random,0.8,1092,1092,1.0,0,0.0,True,True,True,True
2,9,1,dense,random,0.8,528,528,1.0,0,0.0,True,True,True,True
3,9,1,dense,random,0.8,1786,1786,1.0,0,0.0,True,True,True,True
4,9,1,dense,random,0.8,1476,1476,1.0,0,0.0,True,True,True,True
5,9,1,dense,random,0.8,1640,1640,1.0,0,0.0,True,True,True,True
1,9,1,dense,correlated,0.3,25,25,1.0,0,0.0,True,True,True,True
2,9,1,dense,correlated,0.3,12,13,0.9230769230769231,1,0.07692307692307693,True,True,True,True
3,9,1,dense,correlated,0.3,35,35,1.0,0,0.0,True,True,True,True
4,9,1,dense,correlated,0.3,30,30,1.0,0,0.0,True,True,True,True
5,9,1,dense,correlated,0.3,48,48,1.0,0,0.0,True,True,True,True
1,9,1,dense,correlated,0.8,70,70,1.0,0,0.0,True,True,True,True
2,9,1,dense,correlated,0.8,36,36,1.0,0,0.0,True,True,True,True
3,9,1,dense,correlated,0.8,100,100,1.0,0,0.0,True,True,True,True
4,9,1,dense,correlated,0.8,84,84,1.0,0,0.0,True,True,True,True
5,9,1,dense,correlated,0.8,132,132,1.0,0,0.0,True,True,True,True
1,9,1,dense,anticorrelated,0.3,90,90,1.0,0,0.0,True,True,True,True
2,9,1,dense,anticorrelated,0.3,81,81,1.0,0,0.0,True,True,True,True
3,9,1,dense,anticorrelated,0.3,126,126,1.0,0,0.0,True,True,True,True
4,9,1,dense,anticorrelated,0.3,95,95,1.0,0,0.0,True,True,True,True
5,9,1,dense,anticorrelated,0.3,152,152,1.0,0,0.0,True,True,True,True
1,9,1,dense,anticorrelated,0.8,252,252,1.0,0,0.0,True,True,True,True
2,9,1,dense,anticorrelated,0.8,216,216,1.0,0,0.0,True,True,True,True
3,9,1,dense,anticorrelated,0.8,360,360,1.0,0,0.0,True,True,True,True
4,9,1,dense,anticorrelated,0.8,266,266,1.0,0,0.0,True,True,True,True
5,9,1,dense,anticorrelated,0.8,418,418,1.0,0,0.0,True,True,True,True
1,9,1,sparse,random,0.3,36,36,1.0,0,0.0,True,True,True,True
2,9,1,sparse,random,0.3,91,91,1.0,0,0.0,True,True,True,True
3,9,1,sparse,random,0.3,264,264,1.0,0,0.0,True,True,True,True
4,9,1,sparse,random,0.3,138,138,1.0,0,0.0,True,True,True,True
5,9,1,sparse,random,0.3,558,558,1.0,0,0.0,True,True,True,True
1,9,1,sparse,random,0.8,90,90,1.0,0,0.0,True,True,True,True
2,9,1,sparse,random,0.8,273,273,1.0,0,0.0,True,True,True,True
3,9,1,sparse,random,0.8,704,704,1.0,0,0.0,True,True,True,True
4,9,1,sparse,random,0.8,414,414,1.0,0,0.0,True,True,True,True
5,9,1,sparse,random,0.8,1488,1488,1.0,0,0.0,True,True,True,True
1,9,1,sparse,correlated,0.3,1,1,1.0,0,0.0,True,True,True,True
